GPS time,SatPRN,Sat.X,Sat.Y,Sat.Z,Pseudo-Range,CN0,Doppler
2024-04-13 16:53:51.426041600+00:00,G10,-1620081.7744787037,17327678.89277763,20172485.06377191,22842072.081358805,48.3,385.8303527832031
2024-04-13 16:53:51.426041600+00:00,G21,15757452.408317765,1890975.9571634931,21856363.72227612,21666527.37909077,45.7,-314.40350341796875
2024-04-13 16:53:51.426041600+00:00,G27,23098436.983025927,13303367.387089957,-3014966.440680798,22220635.276217714,37.9,570.804931640625
2024-04-13 16:53:51.426041600+00:00,G32,7810468.746056123,17849813.844240233,18350828.84000951,21483377.29258742,48.5,279.2655639648437
2024-04-13 16:53:51.426041600+00:00,G08,25023639.6240527,4783845.8041696865,8137692.350133545,21160133.263325077,27.7,207.6083984375
