SvName,utcTimeMillis,TimeNanos,LeapSecond,TimeUncertaintyNanos,FullBiasNanos,BiasNanos,BiasUncertaintyNanos,DriftNanosPerSecond,DriftUncertaintyNanosPerSecond,HardwareClockDiscontinuityCount,Svid,TimeOffsetNanos,State,ReceivedSvTimeNanos,ReceivedSvTimeUncertaintyNanos,Cn0DbHz,PseudorangeRateMetersPerSecond,PseudorangeRateUncertaintyMetersPerSecond,AccumulatedDeltaRangeState,AccumulatedDeltaRangeMeters,AccumulatedDeltaRangeUncertaintyMeters,CarrierFrequencyHz,CarrierCycles,CarrierPhase,CarrierPhaseUncertainty,MultipathIndicator,SnrInDb,ConstellationType,AgcDb,BasebandCn0DbHz,FullInterSignalBiasNanos,FullInterSignalBiasUncertaintyNanos,SatelliteInterSignalBiasNanos,SatelliteInterSignalBiasUncertaintyNanos,CodeType,ChipsetElapsedRealtimeNanos,Constellation,GpsTimeNanos,UnixTime,Epoch,tRxGnssNanos,GpsWeekNumber,tRxSeconds,tTxSeconds,prSeconds,PrM,PrSigmaM,sv,t_k,delT_sv,x_k,y_k,z_k,Pos.X,Pos.Y,Pos.Z,Lat,Lon,Alt
G02,1713027121418,332339413000000,18,0.0,-1396730000005698381,0.3211078643798828,24.11737477814313,-31.95583452376674,9.489240908272992,7,02,0.0,16399,579139342218269,7,47.2,-475.2610473632813,0.04470549151301384,16,0.0,0.0,1575420030,,,,0,0.0,1,-57.11,42.2,0.0,0.0,,,C,338335118220505,G,1.3970623394186982e+18,2024-04-13 16:52:19.418698240+00:00,0,1.3970623394186982e+18,2309.0,579139.4186983109,579139.342218269,0.0764800418401137,22928139.73119053,2.098547206,G02,3139.342218269012,-0.0004539831135723087,14591866.966557112,-5125610.266319888,22056116.95658494,4436894.278006597,3085290.1647937386,3376331.624951129,32.16885700697579,34.813653609570586,67.1620343606919
G03,1713027121418,332339413000000,18,0.0,-1396730000005698381,0.3211078643798828,24.11737477814313,-31.95583452376674,9.489240908272992,7,03,0.0,16399,579139338513404,10,44.3,-473.3402099609375,0.02239910326898098,16,0.0,0.0,1575420030,,,,0,0.0,1,-57.11,39.3,0.0,0.0,,,C,338335118220505,G,1.3970623394186982e+18,2024-04-13 16:52:19.418698240+00:00,0,1.3970623394186982e+18,2309.0,579139.4186983109,579139.338513404,0.08018490683753043,24038830.315324254,2.9979245800000003,G03,3139.3385134040145,0.0003086409178995395,23173479.482240584,-12102446.045672685,4147832.625594413,4436894.278006597,3085290.1647937386,3376331.624951129,32.16885700697579,34.813653609570586,67.1620343606919
G08,1713027121418,332339413000000,18,0.0,-1396730000005698381,0.3211078643798828,24.11737477814313,-31.95583452376674,9.489240908272992,7,08,0.0,16399,579139348174388,5,50.7,200.3428497314453,0.03450664132833481,16,0.0,0.0,1575420030,,,,0,0.0,1,-57.11,45.7,0.0,0.0,,,C,338335118220505,G,1.3970623394186982e+18,2024-04-13 16:52:19.418698240+00:00,0,1.3970623394186982e+18,2309.0,579139.4186983109,579139.348174388,0.07052392279729247,21142540.163202547,1.4989622900000001,G08,3139.3481743880548,0.00011965602368855644,24944545.530409124,4723196.893046651,8404084.294735465,4436894.278006597,3085290.1647937386,3376331.624951129,32.16885700697579,34.813653609570586,67.1620343606919
G10,1713027121418,332339413000000,18,0.0,-1396730000005698381,0.3211078643798828,24.11737477814313,-31.95583452376674,9.489240908272992,7,10,0.0,16399,579139342627316,21,36.2,385.6965637207031,1.797234058380127,16,0.0,0.0,1575420030,,,,0,0.0,1,-57.11,31.200000000000003,0.0,0.0,,,C,338335118220505,G,1.3970623394186982e+18,2024-04-13 16:52:19.418698240+00:00,0,1.3970623394186982e+18,2309.0,579139.4186983109,579139.342627316,0.07607099483720958,22805510.52475237,6.295641618000001,G10,3155.342627316015,-8.485407195148652e-06,-1422253.478673378,17205202.58820848,20295954.526775006,4436894.278006597,3085290.1647937386,3376331.624951129,32.16885700697579,34.813653609570586,67.1620343606919
G21,1713027121418,332339413000000,18,0.0,-1396730000005698381,0.3211078643798828,24.11737477814313,-31.95583452376674,9.489240908272992,7,21,0.0,16399,579139346333185,10,44.1,-317.2589111328125,0.040399108082056046,16,0.0,0.0,1575420030,,,,0,0.0,1,-57.11,39.1,0.0,0.0,,,C,338335118220505,G,1.3970623394186982e+18,2024-04-13 16:52:19.418698240+00:00,0,1.3970623394186982e+18,2309.0,579139.4186983109,579139.346333185,0.07236512587405741,21694518.95926307,2.9979245800000003,G21,3139.346333184978,0.00012735615941300015,15717806.50748737,1649481.8821763806,21896290.070443552,4436894.278006597,3085290.1647937386,3376331.624951129,32.16885700697579,34.813653609570586,67.1620343606919
G27,1713027121418,332339413000000,18,0.0,-1396730000005698381,0.3211078643798828,24.11737477814313,-31.95583452376674,9.489240908272992,7,27,0.0,16399,579139344756315,11,43.2,566.1300659179688,0.04419833794236183,16,0.0,0.0,1575420030,,,,0,0.0,1,-57.11,38.2,0.0,0.0,,,C,338335118220505,G,1.3970623394186982e+18,2024-04-13 16:52:19.418698240+00:00,0,1.3970623394186982e+18,2309.0,579139.4186983109,579139.344756315,0.07394199585542083,22167252.686922424,3.2977170380000005,G27,3139.3447563149966,-1.840448418245726e-05,23134798.299755145,13296734.952176219,-2727530.9775311192,4436894.278006597,3085290.1647937386,3376331.624951129,32.16885700697579,34.813653609570586,67.1620343606919
G28,1713027121418,332339413000000,18,0.0,-1396730000005698381,0.3211078643798828,24.11737477814313,-31.95583452376674,9.489240908272992,7,28,0.0,16399,579139339107477,17,38.1,-479.2322692871094,4.026961326599121,16,0.0,0.0,1575420030,,,,0,0.0,1,-57.11,33.1,0.0,0.0,,,C,338335118220505,G,1.3970623394186982e+18,2024-04-13 16:52:19.418698240+00:00,0,1.3970623394186982e+18,2309.0,579139.4186983109,579139.339107477,0.07959083386231214,23860731.71785219,5.096471786,G28,3139.3391074769897,-0.0002019079106622435,5190524.141343625,25780713.095625866,-3750984.7821385763,4436894.278006597,3085290.1647937386,3376331.624951129,32.16885700697579,34.813653609570586,67.1620343606919
G32,1713027121418,332339413000000,18,0.0,-1396730000005698381,0.3211078643798828,24.11737477814313,-31.95583452376674,9.489240908272992,7,32,0.0,16399,579139347125450,12,42.2,270.6861267089844,0.04049757122993469,16,0.0,0.0,1575420030,,,,0,0.0,1,-57.11,37.2,0.0,0.0,,,C,338335118220505,G,1.3970623394186982e+18,2024-04-13 16:52:19.418698240+00:00,0,1.3970623394186982e+18,2309.0,579139.4186983109,579139.34712545,0.0715728608192876,21457003.87110612,3.5975094960000007,G32,3139.3471254500328,-0.0006180522338337888,8004524.969909515,17928069.811361097,18190163.98179976,4436894.278006597,3085290.1647937386,3376331.624951129,32.16885700697579,34.813653609570586,67.1620343606919
G02,1713027122418,332340413000000,18,0.0,-1396730000005698420,0.5780887603759766,22.99100196978543,-37.19452032703783,10.727090732815356,7,02,0.0,16399,579140342219866,7,47.6,-473.3607482910156,0.04470549151301384,16,0.0,0.0,1575420030,,,,0,0.0,1,-56.32,42.6,0.0,0.0,,,C,338336113579255,G,1.3970623404186982e+18,2024-04-13 16:52:20.418698240+00:00,1,1.3970623404186982e+18,2309.0,579140.4186983109,579140.342219866,0.07647844485472888,22927660.967016622,2.098547206,G02,3140.3422198659973,-0.0004539831070921486,14592304.580027768,-5122959.862970568,22056477.773290534,4436885.833662581,3085286.083532789,3376328.152297504,32.16887497242394,34.81366919670884,57.47221267223358
G03,1713027122418,332340413000000,18,0.0,-1396730000005698420,0.5780887603759766,22.99100196978543,-37.19452032703783,10.727090732815356,7,03,0.0,16399,579140338514993,10,44.8,-471.5722351074219,0.02239910326898098,16,0.0,0.0,1575420030,,,,0,0.0,1,-56.32,39.8,0.0,0.0,,,C,338336113579255,G,1.3970623404186982e+18,2024-04-13 16:52:20.418698240+00:00,1,1.3970623404186982e+18,2309.0,579140.4186983109,579140.3385149931,0.0801833177683875,24038353.924379963,2.9979245800000003,G03,3140.3385149930837,0.00030864093915901195,23173144.851224016,-12101962.982488178,4151008.9555503884,4436885.833662581,3085286.083532789,3376328.152297504,32.16887497242394,34.81366919670884,57.47221267223358
