GPS time,SatPRN,Sat.X,Sat.Y,Sat.Z,Pseudo-Range,CN0,Doppler
2024-04-13 16:52:19.418698240+00:00,G02,14591866.966557112,-5125610.266319888,22056116.95658494,22928139.73119053,47.2,-475.2610473632813
2024-04-13 16:52:19.418698240+00:00,G03,23173479.482240584,-12102446.045672685,4147832.625594413,24038830.315324254,44.3,-473.3402099609375
2024-04-13 16:52:19.418698240+00:00,G08,24944545.530409124,4723196.893046651,8404084.294735465,21142540.163202547,50.7,200.3428497314453
2024-04-13 16:52:19.418698240+00:00,G10,-1422253.478673378,17205202.58820848,20295954.526775006,22805510.52475237,36.2,385.6965637207031
2024-04-13 16:52:19.418698240+00:00,G21,15717806.50748737,1649481.8821763806,21896290.070443552,21694518.95926307,44.1,-317.2589111328125
2024-04-13 16:52:19.418698240+00:00,G27,23134798.299755145,13296734.952176219,-2727530.9775311192,22167252.686922424,43.2,566.1300659179688
2024-04-13 16:52:19.418698240+00:00,G28,5190524.141343625,25780713.095625866,-3750984.7821385763,23860731.71785219,38.1,-479.2322692871094
2024-04-13 16:52:19.418698240+00:00,G32,8004524.969909515,17928069.811361097,18190163.98179976,21457003.87110612,42.2,270.6861267089844
