SvName,utcTimeMillis,TimeNanos,LeapSecond,TimeUncertaintyNanos,FullBiasNanos,BiasNanos,BiasUncertaintyNanos,DriftNanosPerSecond,DriftUncertaintyNanosPerSecond,HardwareClockDiscontinuityCount,Svid,TimeOffsetNanos,State,ReceivedSvTimeNanos,ReceivedSvTimeUncertaintyNanos,Cn0DbHz,PseudorangeRateMetersPerSecond,PseudorangeRateUncertaintyMetersPerSecond,AccumulatedDeltaRangeState,AccumulatedDeltaRangeMeters,AccumulatedDeltaRangeUncertaintyMeters,CarrierFrequencyHz,CarrierCycles,CarrierPhase,CarrierPhaseUncertainty,MultipathIndicator,SnrInDb,ConstellationType,AgcDb,BasebandCn0DbHz,FullInterSignalBiasNanos,FullInterSignalBiasUncertaintyNanos,SatelliteInterSignalBiasNanos,SatelliteInterSignalBiasUncertaintyNanos,CodeType,ChipsetElapsedRealtimeNanos,Constellation,GpsTimeNanos,UnixTime,Epoch,tRxGnssNanos,GpsWeekNumber,tRxSeconds,tTxSeconds,prSeconds,PrM,PrSigmaM,sv,t_k,delT_sv,x_k,y_k,z_k,Pos.X,Pos.Y,Pos.Z,Lat,Lon,Alt
G28,1713027214426,332432420000000,18,0.0,-1396730000006041684,-0.9590837955474854,20.209761714795604,-39.54286403290759,14.77495631725134,8,28,0.0,81935,579232346603449,27,22.6,-475.15234375,3.000500202178955,16,0.0,0.0,1176450050,,,,0,0.0,1,-38.16,17.6,-7861.56591796875,6.028573513031006,,,Q,338428126732344,G,1.3970624324260416e+18,2024-04-13 16:53:52.426041600+00:00,1,1.3970624324260416e+18,2309.0,579232.4260416031,579232.3466034491,0.0794381540035829,23814959.447716657,8.094396366000002,G28,3232.346603449085,-0.000201909316968081,5169380.722935404,25825521.78461427,-3459569.3951893607,4434962.066404646,3084226.345458857,3374381.9002307556,32.16450443199266,34.816089993035995,-2827.822928952053
G02,1713027215426,332433420000000,18,0.0,-1396730000006041703,-0.9915919303894044,15.706804333603941,-28.19281711970467,10.70334291328031,8,02,0.0,16399,579233349706803,21,36.4,-473.2129211425781,1.2308529615402222,16,0.0,0.0,1575420030,,,,0,0.0,1,-57.56,31.4,0.0,0.0,,,C,338429120453490,G,1.3970624334260416e+18,2024-04-13 16:53:53.426041600+00:00,2,1.3970624334260416e+18,2309.0,579233.4260416031,579233.349706803,0.07633480010554194,22884597.35457908,6.295641618000001,G02,3233.349706802983,-0.00045398250438970537,14633733.886359746,-4876403.146818345,22088069.517008904,4439099.880475264,3086224.983259692,3377297.726446895,32.16497645633891,34.808442790638296,2566.1637699920684
G10,1713027215426,332433420000000,18,0.0,-1396730000006041703,-0.9915919303894044,15.706804333603941,-28.19281711970467,10.70334291328031,8,10,0.0,16399,579233349846070,6,49.4,386.9629821777344,0.03329208120703697,16,0.0,0.0,1575420030,,,,0,0.0,1,-57.56,44.4,0.0,0.0,,,C,338429120453490,G,1.3970624334260416e+18,2024-04-13 16:53:53.426041600+00:00,2,1.3970624334260416e+18,2309.0,579233.4260416031,579233.34984607,0.07619553303811699,22842846.138117302,1.7987547480000003,G10,3249.3498460700503,-8.48581331571873e-06,-1624361.482773332,17330345.035913814,20169761.111179907,4439099.880475264,3086224.983259692,3377297.726446895,32.16497645633891,34.808442790638296,2566.1637699920684
G21,1713027215426,332433420000000,18,0.0,-1396730000006041703,-0.9915919303894044,15.706804333603941,-28.19281711970467,10.70334291328031,8,21,0.0,16399,579233353771930,10,44.0,-313.22088623046875,0.029899103567004204,16,0.0,0.0,1575420030,,,,0,0.0,1,-57.56,39.0,0.0,0.0,,,C,338429120453490,G,1.3970624334260416e+18,2024-04-13 16:53:53.426041600+00:00,2,1.3970624334260416e+18,2309.0,579233.4260416031,579233.35377193,0.07226967310998589,21665902.940499175,2.9979245800000003,G21,3233.3537719299784,0.0001273560097892821,15758328.104805518,1896216.9288764256,21855454.233308345,4439099.880475264,3086224.983259692,3377297.726446895,32.16497645633891,34.808442790638296,2566.1637699920684
G27,1713027215426,332433420000000,18,0.0,-1396730000006041703,-0.9915919303894044,15.706804333603941,-28.19281711970467,10.70334291328031,8,27,0.0,16399,579233351917708,17,38.3,572.3273315429688,0.042794376611709595,16,0.0,0.0,1575420030,,,,0,0.0,1,-57.56,33.3,0.0,0.0,,,C,338429120453490,G,1.3970624334260416e+18,2024-04-13 16:53:53.426041600+00:00,2,1.3970624334260416e+18,2309.0,579233.4260416031,579233.3519177081,0.07412389502860606,22221784.68715979,5.096471786,G27,3233.35191770806,-1.84046979299953e-05,23097614.222629804,13303497.87727221,-3021208.866181496,4439099.880475264,3086224.983259692,3377297.726446895,32.16497645633891,34.808442790638296,2566.1637699920684
G32,1713027215426,332433420000000,18,0.0,-1396730000006041703,-0.9915919303894044,15.706804333603941,-28.19281711970467,10.70334291328031,8,32,0.0,16399,579233354378894,6,49.5,280.6029052734375,0.025792080909013748,16,0.0,0.0,1575420030,,,,0,0.0,1,-57.56,44.5,0.0,0.0,,,C,338429120453490,G,1.3970624334260416e+18,2024-04-13 16:53:53.426041600+00:00,2,1.3970624334260416e+18,2309.0,579233.4260416031,579233.3543788941,0.07166270900052041,21483939.678204738,1.7987547480000003,G32,3233.354378894088,-0.0006180522765833383,7806227.364952,17848115.740182087,18354285.51232206,4439099.880475264,3086224.983259692,3377297.726446895,32.16497645633891,34.808442790638296,2566.1637699920684
G08,1713027215426,332433420000000,18,0.0,-1396730000006041703,-0.9915919303894044,15.706804333603941,-28.19281711970467,10.70334291328031,8,08,0.0,81935,579233355457571,12,28.7,211.6474151611328,0.9539999961853027,16,0.0,0.0,1176450050,,,,0,0.0,1,-39.05,23.7,-7861.56787109375,6.028910160064697,,,Q,338429120453490,G,1.3970624334260416e+18,2024-04-13 16:53:53.426041600+00:00,2,1.3970624334260416e+18,2309.0,579233.4260416031,579233.355457571,0.07058403210248798,21160560.47955578,3.5975094960000007,G08,3233.355457570986,0.000119658203916269,25025331.442510433,4785145.479727181,8131885.568654007,4439099.880475264,3086224.983259692,3377297.726446895,32.16497645633891,34.808442790638296,2566.1637699920684
G02,1713027216426,332434420000000,18,0.0,-1396730000006041743,-0.7292635440826416,14.997634025348816,-35.40541347545178,9.755804039025334,8,02,0.0,16399,579234349708436,27,34.4,-472.8988037109375,0.5900000333786011,16,0.0,0.0,1575420030,,,,0,0.0,1,-57.08,29.4,0.0,0.0,,,C,338430125821718,G,1.3970624344260419e+18,2024-04-13 16:53:54.426041856+00:00,3,1.3970624344260416e+18,2309.0,579234.4260416031,579234.349708436,0.07633316703140736,22884107.771270175,8.094396366000002,G02,3234.349708436057,-0.00045398249790954505,14634187.149074415,-4873751.769524982,22088388.030829635,4435063.317915991,3084401.0151327406,3374450.8671727204,32.16415294241704,34.81699779912142,-2636.3182520559058
G08,1713027216426,332434420000000,18,0.0,-1396730000006041743,-0.7292635440826416,14.997634025348816,-35.40541347545178,9.755804039025334,8,08,0.0,16399,579234355448987,31,33.3,212.15841674804688,1.3289999961853027,16,0.0,0.0,1575420030,,,,0,0.0,1,-57.08,28.299999999999997,0.0,0.0,,,C,338430125821718,G,1.3970624344260419e+18,2024-04-13 16:53:54.426041856+00:00,3,1.3970624344260416e+18,2309.0,579234.4260416031,579234.355448987,0.07059261610265821,21163133.898066286,9.293566198,G08,3234.3554489869857,0.00011965822710818482,25026176.90465797,4785795.015990736,8128981.946531652,4435063.317915991,3084401.0151327406,3374450.8671727204,32.16415294241704,34.81699779912142,-2636.3182520559058
G10,1713027216426,332434420000000,18,0.0,-1396730000006041743,-0.7292635440826416,14.997634025348816,-35.40541347545178,9.755804039025334,8,10,0.0,16399,579234349844779,6,49.4,386.8756408691406,0.03329208120703697,16,0.0,0.0,1575420030,,,,0,0.0,1,-57.08,44.4,0.0,0.0,,,C,338430125821718,G,1.3970624344260419e+18,2024-04-13 16:53:54.426041856+00:00,3,1.3970624344260416e+18,2309.0,579234.4260416031,579234.349844779,0.07619682408403605,22843233.183946766,1.7987547480000003,G10,3250.3498447790043,-8.485817635812987e-06,-1626501.006911113,17331678.165967982,20168398.49714693,4435063.317915991,3084401.0151327406,3374450.8671727204,32.16415294241704,34.81699779912142,-2636.3182520559058
