SvName,utcTimeMillis,TimeNanos,LeapSecond,TimeUncertaintyNanos,FullBiasNanos,BiasNanos,BiasUncertaintyNanos,DriftNanosPerSecond,DriftUncertaintyNanosPerSecond,HardwareClockDiscontinuityCount,Svid,TimeOffsetNanos,State,ReceivedSvTimeNanos,ReceivedSvTimeUncertaintyNanos,Cn0DbHz,PseudorangeRateMetersPerSecond,PseudorangeRateUncertaintyMetersPerSecond,AccumulatedDeltaRangeState,AccumulatedDeltaRangeMeters,AccumulatedDeltaRangeUncertaintyMeters,CarrierFrequencyHz,CarrierCycles,CarrierPhase,CarrierPhaseUncertainty,MultipathIndicator,SnrInDb,ConstellationType,AgcDb,BasebandCn0DbHz,FullInterSignalBiasNanos,FullInterSignalBiasUncertaintyNanos,SatelliteInterSignalBiasNanos,SatelliteInterSignalBiasUncertaintyNanos,CodeType,ChipsetElapsedRealtimeNanos,Constellation,GpsTimeNanos,UnixTime,Epoch,tRxGnssNanos,GpsWeekNumber,tRxSeconds,tTxSeconds,prSeconds,PrM,PrSigmaM,sv,t_k,delT_sv,x_k,y_k,z_k,Pos.X,Pos.Y,Pos.Z,Lat,Lon,Alt
G02,1713027078417,332296412000000,18,0.0,-1396730000005342789,-0.7691726684570312,34.25081740715541,-137.1602544876685,18.58010122864439,6,02,0.0,16399,579096340796082,11,43.0,-505.6047058105469,0.05019833892583847,16,0.0,0.0,1575420030,,,,0,0.0,1,-57.65,38.0,0.0,0.0,,,C,338292111201719,G,1.3970622964173427e+18,2024-04-13 16:51:36.417342720+00:00,0,1.3970622964173427e+18,2309.0,579096.4173429012,579096.340796082,0.07654681918211281,22948159.07468715,3.2977170380000005,G02,3096.3407960820477,-0.00045398339222796395,14573206.71411265,-5239567.640830624,22040175.96184369,4436876.524074269,3085278.687441229,3376310.7016534875,32.16879873393718,34.813661167085165,38.13736777566373
G03,1713027078417,332296412000000,18,0.0,-1396730000005342789,-0.7691726684570312,34.25081740715541,-137.1602544876685,18.58010122864439,6,03,0.0,16399,579096337091455,12,42.0,-504.386474609375,0.025497570633888245,16,0.0,0.0,1575420030,,,,0,0.0,1,-57.65,37.0,0.0,0.0,,,C,338292111201719,G,1.3970622964173427e+18,2024-04-13 16:51:36.417342720+00:00,0,1.3970622964173427e+18,2309.0,579096.4173429012,579096.337091455,0.08025144622661173,24058778.322330758,3.5975094960000007,G03,3096.3370914550032,0.00030864000371344757,23187580.558564212,-12122987.558775622,4011162.6919710715,4436876.524074269,3085278.687441229,3376310.7016534875,32.16879873393718,34.813661167085165,38.13736777566373
G08,1713027078417,332296412000000,18,0.0,-1396730000005342789,-0.7691726684570312,34.25081740715541,-137.1602544876685,18.58010122864439,6,08,0.0,16399,579096346848812,7,47.8,165.79957580566406,0.0387054942548275,16,0.0,0.0,1575420030,,,,0,0.0,1,-57.65,42.8,0.0,0.0,,,C,338292111201719,G,1.3970622964173427e+18,2024-04-13 16:51:36.417342720+00:00,0,1.3970622964173427e+18,2309.0,579096.4173429012,579096.3468488121,0.0704940891591832,21133596.263502687,2.098547206,G08,3096.3468488120707,0.00011965502639687304,24906736.30404856,4694270.572758321,8528081.895445963,4436876.524074269,3085278.687441229,3376310.7016534875,32.16879873393718,34.813661167085165,38.13736777566373
G10,1713027078417,332296412000000,18,0.0,-1396730000005342789,-0.7691726684570312,34.25081740715541,-137.1602544876685,18.58010122864439,6,10,0.0,16399,579096341328621,16,39.0,355.62664794921875,0.05640523508191109,16,0.0,0.0,1575420030,,,,0,0.0,1,-57.65,34.0,0.0,0.0,,,C,338292111201719,G,1.3970622964173427e+18,2024-04-13 16:51:36.417342720+00:00,0,1.3970622964173427e+18,2309.0,579096.4173429012,579096.341328621,0.07601428020279855,22788507.905097716,4.796679328000001,G10,3112.341328621027,-8.485221425245323e-06,-1329165.0720265834,17148086.34156501,20352420.163985148,4436876.524074269,3085278.687441229,3376310.7016534875,32.16879873393718,34.813661167085165,38.13736777566373
G21,1713027078417,332296412000000,18,0.0,-1396730000005342789,-0.7691726684570312,34.25081740715541,-137.1602544876685,18.58010122864439,6,21,0.0,16399,579096344933593,10,44.3,-348.5203857421875,0.043399106711149216,16,0.0,0.0,1575420030,,,,0,0.0,1,-57.65,39.3,0.0,0.0,,,C,338292111201719,G,1.3970622964173427e+18,2024-04-13 16:51:36.417342720+00:00,0,1.3970622964173427e+18,2309.0,579096.4173429012,579096.3449335931,0.07240930816624314,21707764.477237504,2.9979245800000003,G21,3096.3449335930636,0.00012735622785470406,15699708.620245434,1536361.2559223366,21913664.42634119,4436876.524074269,3085278.687441229,3376310.7016534875,32.16879873393718,34.813661167085165,38.13736777566373
G27,1713027078417,332296412000000,18,0.0,-1396730000005342789,-0.7691726684570312,34.25081740715541,-137.1602544876685,18.58010122864439,6,27,0.0,16399,579096343483341,9,45.2,533.8138427734375,0.04430919513106346,16,0.0,0.0,1575420030,,,,0,0.0,1,-57.65,40.2,0.0,0.0,,,C,338292111201719,G,1.3970622964173427e+18,2024-04-13 16:51:36.417342720+00:00,0,1.3970622964173427e+18,2309.0,579096.4173429012,579096.343483341,0.0738595601869747,22142539.095252085,2.6981321220000005,G27,3096.343483341043,-1.8404386408882412e-05,23150795.05425613,13293206.07379138,-2593025.988618102,4436876.524074269,3085278.687441229,3376310.7016534875,32.16879873393718,34.813661167085165,38.13736777566373
G28,1713027078417,332296412000000,18,0.0,-1396730000005342789,-0.7691726684570312,34.25081740715541,-137.1602544876685,18.58010122864439,6,28,0.0,16399,579096337684715,24,35.5,-510.6150207519531,0.527999997138977,16,0.0,0.0,1575420030,,,,0,0.0,1,-57.65,30.5,0.0,0.0,,,C,338292111201719,G,1.3970622964173427e+18,2024-04-13 16:51:36.417342720+00:00,0,1.3970622964173427e+18,2309.0,579096.4173429012,579096.337684715,0.07965818617958575,23880923.43459964,7.195018992000001,G28,3096.3376847150503,-0.00020190726046570592,5200268.047928143,25758890.151180234,-3885488.7660888904,4436876.524074269,3085278.687441229,3376310.7016534875,32.16879873393718,34.813661167085165,38.13736777566373
G32,1713027078417,332296412000000,18,0.0,-1396730000005342789,-0.7691726684570312,34.25081740715541,-137.1602544876685,18.58010122864439,6,32,0.0,16399,579096345809951,9,45.6,236.67388916015625,0.04130919650197029,16,0.0,0.0,1575420030,,,,0,0.0,1,-57.65,40.6,0.0,0.0,,,C,338292111201719,G,1.3970622964173427e+18,2024-04-13 16:51:36.417342720+00:00,0,1.3970622964173427e+18,2309.0,579096.4173429012,579096.3458099511,0.07153295015450567,21445038.954810735,2.6981321220000005,G32,3096.3458099510754,-0.0006180522142790545,8094502.459394407,17964729.605067823,18113974.760810208,4436876.524074269,3085278.687441229,3376310.7016534875,32.16879873393718,34.813661167085165,38.13736777566373
G02,1713027079417,332297412000000,18,0.0,-1396730000005342923,-0.7902164459228516,31.070892873685807,-136.72249487588638,17.17603654932611,6,02,0.0,16399,579097340797767,9,45.2,-505.4778747558594,0.048809196799993515,16,0.0,0.0,1575420030,,,,0,0.0,1,-56.0,40.2,0.0,0.0,,,C,338293119580989,G,1.397062297417343e+18,2024-04-13 16:51:37.417342976+00:00,1,1.3970622974173427e+18,2309.0,579097.4173429012,579097.340797767,0.07654513418674469,22947653.92578402,2.6981321220000005,G02,3097.340797767043,-0.00045398338574780325,14573637.157755837,-5236917.872893741,22040556.11196385,4436882.867613474,3085280.299765049,3376315.863788751,32.16880871392561,34.81363680491586,46.073195778764784
G03,1713027079417,332297412000000,18,0.0,-1396730000005342923,-0.7902164459228516,31.070892873685807,-136.72249487588638,17.17603654932611,6,03,0.0,16399,579097337093142,11,43.4,-504.374755859375,0.02469833754003048,16,0.0,0.0,1575420030,,,,0,0.0,1,-56.0,38.4,0.0,0.0,,,C,338293119580989,G,1.397062297417343e+18,2024-04-13 16:51:37.417342976+00:00,1,1.3970622974173427e+18,2309.0,579097.4173429012,579097.3370931421,0.08024975913576782,24058272.54521979,3.2977170380000005,G03,3097.337093142094,0.0003086400249729221,23187259.053250164,-12122514.97754027,4014342.794508614,4436882.867613474,3085280.299765049,3376315.863788751,32.16880871392561,34.81363680491586,46.073195778764784
G08,1713027079417,332297412000000,18,0.0,-1396730000005342923,-0.7902164459228516,31.070892873685807,-136.72249487588638,17.17603654932611,6,08,0.0,16399,579097346848258,6,49.8,165.98670959472656,0.037792082875967026,16,0.0,0.0,1575420030,,,,0,0.0,1,-56.0,44.8,0.0,0.0,,,C,338293119580989,G,1.397062297417343e+18,2024-04-13 16:51:37.417342976+00:00,1,1.3970622974173427e+18,2309.0,579097.4173429012,579097.346848258,0.07049464317969978,21133762.354675133,1.7987547480000003,G08,3097.34684825805,0.00011965504958897509,24907621.621711712,4694947.489705142,8525202.036002519,4436882.867613474,3085280.299765049,3376315.863788751,32.16880871392561,34.81363680491586,46.073195778764784
G10,1713027079417,332297412000000,18,0.0,-1396730000005342923,-0.7902164459228516,31.070892873685807,-136.72249487588638,17.17603654932611,6,10,0.0,16399,579097341327440,13,41.7,355.7349548339844,0.05039195343852043,16,0.0,0.0,1575420030,,,,0,0.0,1,-56.0,36.7,0.0,0.0,,,C,338293119580989,G,1.397062297417343e+18,2024-04-13 16:51:37.417342976+00:00,1,1.3970622974173427e+18,2309.0,579097.4173429012,579097.34132744,0.07601546123623848,22788861.970015652,3.8973019540000005,G10,3113.3413274399936,-8.485225745340053e-06,-1331334.3680131258,17149413.627291784,20351116.047403943,4436882.867613474,3085280.299765049,3376315.863788751,32.16880871392561,34.81363680491586,46.073195778764784
