GPS time,SatPRN,Sat.X,Sat.Y,Sat.Z,Pseudo-Range,CN0,Doppler
2024-04-13 16:51:36.417342720+00:00,G02,14573206.71411265,-5239567.640830624,22040175.96184369,22948159.07468715,43.0,-505.6047058105469
2024-04-13 16:51:36.417342720+00:00,G03,23187580.558564212,-12122987.558775622,4011162.6919710715,24058778.322330758,42.0,-504.386474609375
2024-04-13 16:51:36.417342720+00:00,G08,24906736.30404856,4694270.572758321,8528081.895445963,21133596.263502687,47.8,165.79957580566406
2024-04-13 16:51:36.417342720+00:00,G10,-1329165.0720265834,17148086.34156501,20352420.163985148,22788507.905097716,39.0,355.62664794921875
2024-04-13 16:51:36.417342720+00:00,G21,15699708.620245434,1536361.2559223366,21913664.42634119,21707764.477237504,44.3,-348.5203857421875
2024-04-13 16:51:36.417342720+00:00,G27,23150795.05425613,13293206.07379138,-2593025.988618102,22142539.095252085,45.2,533.8138427734375
2024-04-13 16:51:36.417342720+00:00,G28,5200268.047928143,25758890.151180234,-3885488.7660888904,23880923.43459964,35.5,-510.6150207519531
2024-04-13 16:51:36.417342720+00:00,G32,8094502.459394407,17964729.605067823,18113974.760810208,21445038.954810735,45.6,236.67388916015625
